TimeVN,HaGiang,CaMau
2012-08-01 7:00,26.20000076,25.39999962
2012-08-01 10:00,31.39999962,30.79999924
2012-08-01 13:00,35.09999847,30
2012-08-01 16:00,35.79999924,27.70000076
2012-08-01 19:00,30.39999962,28.10000038
2012-08-01 22:00,24,27.60000038
2012-08-02 1:00,23.79999924,24.39999962
2012-08-02 4:00,23.89999962,24.5
2012-08-02 7:00,24,25.39999962
2012-08-02 10:00,28.79999924,23.29999924
2012-08-02 13:00,34.70000076,24
2012-08-02 16:00,26.70000076,27.5
2012-08-02 19:00,25.39999962,27.20000076
2012-08-02 22:00,24.79999924,26.60000038
2012-08-03 1:00,24.5,26.5
2012-08-03 4:00,24.39999962,26.39999962
2012-08-03 7:00,24.60000038,26.39999962
2012-08-03 10:00,30.10000038,26.5
2012-08-03 13:00,34.40000153,30.60000038
2012-08-03 16:00,,28.89999962
2012-08-03 19:00,,27.60000038
2012-08-03 22:00,,27
2012-08-04 1:00,,26.70000076
2012-08-04 4:00,,26.79999924
2012-08-04 7:00,25.60000038,26.79999924
2012-08-04 10:00,30.39999962,25.39999962
2012-08-04 13:00,34.79999924,31
2012-08-04 16:00,35.29999924,31.79999924
2012-08-04 19:00,31.70000076,28.5
2012-08-04 22:00,28.39999962,27.29999924
2012-08-05 1:00,27.20000076,26.60000038
2012-08-05 4:00,26.5,26.39999962
2012-08-05 7:00,26.60000038,26.79999924
2012-08-05 10:00,32.09999847,30
2012-08-05 13:00,34.90000153,32
2012-08-05 16:00,35.29999924,31.60000038
2012-08-05 19:00,25.20000076,28.70000076
2012-08-05 22:00,24.79999924,27.20000076
2012-08-06 1:00,24.79999924,26.60000038
2012-08-06 4:00,24.39999962,26.20000076
2012-08-06 7:00,24.70000076,27.20000076
2012-08-06 10:00,27.5,30.5
2012-08-06 13:00,29.89999962,31.70000076
2012-08-06 16:00,30.10000038,30
2012-08-06 19:00,26.60000038,28.70000076
2012-08-06 22:00,25.60000038,27.70000076
2012-08-07 1:00,25.5,27.10000038
2012-08-07 4:00,25.39999962,26.39999962
2012-08-07 7:00,25.60000038,27.10000038
2012-08-07 10:00,26.60000038,30.10000038
2012-08-07 13:00,31.29999924,32
2012-08-07 16:00,32.90000153,31.39999962
2012-08-07 19:00,29.20000076,28.39999962
2012-08-07 22:00,27.10000038,27.10000038
2012-08-08 1:00,24.70000076,26.60000038
2012-08-08 4:00,24.5,26
2012-08-08 7:00,25.10000038,26.70000076
2012-08-08 10:00,26.70000076,30.89999962
2012-08-08 13:00,31.39999962,31.89999962
2012-08-08 16:00,33.90000153,31.79999924
2012-08-08 19:00,26.39999962,28.70000076
2012-08-08 22:00,25.10000038,27.5
2012-08-09 1:00,24.70000076,27.10000038
2012-08-09 4:00,24.20000076,26.60000038
2012-08-09 7:00,24.60000038,27
2012-08-09 10:00,30.20000076,30.89999962
2012-08-09 13:00,33.79999924,32.40000153
2012-08-09 16:00,24.89999962,31.79999924
2012-08-09 19:00,24.60000038,29
2012-08-09 22:00,24.20000076,28
2012-08-10 1:00,24.20000076,27.39999962
